"DMSO_1"	"DMSO_2"	"DMSO_3"	"NCEG2_1"	"NCEG2_2"	"NCEG2_3"
"ENSG00000231353"	0	0	0	0	0	0
"ENSG00000275503"	0	0	0	0	0	0
"ENSG00000224966"	0	0	0	0	0	0
"ENSG00000183888"	0	0	0	0	0	0
"ENSG00000233078"	0	0	0	0	0	0
"ENSG00000173641"	8	7	8	6	12	10
"ENSG00000186510"	3	15	9	3	4	12
"ENSG00000232456"	6	21	1	10	15	7
"ENSG00000184908"	4	0	2	2	0	0
"ENSG00000185519"	124	142	126	132	160	162
"ENSG00000142627"	11588	10042	10933	7936	9351	9289
"ENSG00000227959"	37	20	46	47	32	32
"ENSG00000224621"	10	18	8	23	7	23
"ENSG00000234166"	0	0	0	0	0	0
"ENSG00000142632"	251	248	229	199	254	237
"ENSG00000237276"	68	68	72	52	74	78
"ENSG00000132881"	152	128	147	111	151	134
"ENSG00000233929"	444	416	428	231	393	319
"ENSG00000037637"	1794	1647	1802	1540	1755	1696
"ENSG00000055070"	7086	6304	6728	5202	6150	5814
"ENSG00000226457"	462	417	415	336	449	392
"ENSG00000187144"	4	3	0	3	2	0
"ENSG00000157191"	2413	2318	2407	1918	2412	2174
"ENSG00000226029"	204	236	219	235	220	216
"ENSG00000080947"	798	700	790	588	719	670
"ENSG00000206652"	0	42	43	2	25	7
"ENSG00000261135"	35	32	38	30	51	32
"ENSG00000224174"	58	39	39	43	52	38
"ENSG00000233421"	122	125	162	85	110	146
"ENSG00000277344"	0	0	1	0	0	0
"ENSG00000268991"	0	5	0	0	2	0
"ENSG00000225710"	0	0	0	0	0	0
"ENSG00000266584"	0	0	0	0	0	0
"ENSG00000219481"	3088	2444	2793	1893	2334	2104
"ENSG00000271732"	10	0	4	0	4	1
"ENSG00000215908"	826	686	846	670	848	911
"ENSG00000186301"	107	132	138	64	119	78
"ENSG00000207513"	4	36	31	4	24	7
"ENSG00000237847"	4	0	0	0	2	2
"ENSG00000280114"	5	0	4	1	0	1
"ENSG00000264742"	0	0	0	0	0	0
"ENSG00000236698"	2220	2128	2062	1906	2362	2262
"ENSG00000268869"	10	10	7	4	3	13
"ENSG00000279151"	0	0	2	2	0	0
"ENSG00000279132"	6	0	0	2	0	0
"ENSG00000058453"	1682	1436	1606	1128	1351	1356
"ENSG00000207389"	30	323	241	19	208	157
"ENSG00000227684"	2	1	4	0	1	4
"ENSG00000186715"	61	32	60	42	33	45
"ENSG00000223643"	0	0	0	0	0	0
